Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Nebraska,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Mississippi,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maine,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alaska,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alabama,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Rhode Island,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Wyoming,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
North Dakota,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Iowa,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Montana,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Arkansas,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Idaho,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Delaware,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Mexico,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Vermont,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Indiana,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,6.9,22,435541
South Carolina,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,7,19,248628
Massachusetts,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,7.2,86,1314308
Connecticut,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,7.5,34,454125
Minnesota,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,7.9,43,758485
Wisconsin,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,8.1,27,458498
North Carolina,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,8.1,61,872989
Utah,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,8.4,17,220287
Colorado,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,8.8,48,526526
Pennsylvania,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,8.9,103,1261058
Kansas,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,9.1,20,232318
Tennessee,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,9.3,31,349402
Missouri,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,9.4,30,348588
New York,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,9.5,501,4674014
New Jersey,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,10,254,2340226
Washington,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,10,210,1933711
Oklahoma,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,10.7,24,246754
Maryland,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,10.8,136,1079102
Oregon,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,10.8,63,539178
Illinois,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,11.2,239,1936777
Kentucky,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,11.3,17,189227
Ohio,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,11.4,73,773399
Texas,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,11.4,421,3905623
Virginia,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,11.9,198,1571813
Florida,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,11.9,249,1682855
Michigan,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,12.1,93,851736
Georgia,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,12.3,139,1221101
Hawaii,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,12.6,348,1379879
California,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,12.9,2654,15578701
Louisiana,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,13.3,30,212923
Arizona,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,13.6,101,670057
Nevada,Female Breast,2018-2022,Female,Asian Non-Hispanic,Mortality,16.8,172,726113
